"Dealers Manager","Menadżer dealerów"
"Manage Dealers","Zarządzanie dealerami"
"Edit Dealer","Edycja dealera"
"Dealer does not exist","Dealer nie istnieje"
"Dealer was successfully saved","Dealer został zapisany"
"Dealer was successfully deleted","Skasowano rekord dealera"
"Please select dealer(s).","Wybierze dealera(ów)"
"Total of %d dealer(s) were deleted.","Skasowano %d dealerów"
"Dealers","Dealerzy"
"Add Dealer","Dodaj dealera"
"Dealer ID","ID dealera"
"Dealer Code","Kod dealera"
"Dealer Name","Imię dealera"
"Street","Ulica"
"City","Miejscowość"
"Country","Kraj"
"Status","Status"
"Change status","Zmień status"
"Action","Akcja"
"Edit","Edytuj"
"Save Dealer","Zapisz dealera"
"Delete Dealer","Usuń dealera"
"Zip Code","Kod pocztowy"
"State/Provice","Region"
"General","Ogólne"
"General Information","Dane podstawowe"
"Address","Dane adresowe"
"Enabled","Aktywny"
"Disabled","Nieaktywny"
"Back","Powrót"
"Edit Dealer '%s'","Edytuj dealera '%s'"
"New Dealer","Nowy dealer"
"Products","Produkty"